"Community Health Survey data - non-age adjusted, 2011-2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Self_Rep_Health,Self_Rep_Health_Rank,SRH 95%CI LL ,SRH 95%CI UL,Smoking,Smoking_Rank,Smoke 95%CI LL,Smoke 95%CI UL,Sugary_Drink,Sugary_Drink_Rank,ssb 95%CI LL,ssb 95%CI UL,Fruit_Veg,Fruit_Veg_Rank,fruitveg 95%CI LL,fruitveg 95%CI UL,Exercise,Exercise_Rank,Ex 95%CI LL,Ex 95%CI UL,Obesity,Obesity_Rank,Ob 95%CI LL,Ob 95%CI UL,Diabetes,Diabetes_Rank,Diab 95%CI LL,Diab 95%CI UL,Uninsured,Uninsured_Rank,Uninsured 95%CI LL,Uninsured 95%CI UL,Didnt_Get_Care,Didnt_Get_Care_Rank,DGC 95%CI LL,DGC 95%CI UL,Flu_Vaccination,Flu_Vaccination_Rank,Flu 95%CI LL,Flu 95%CI UL,HIV_Testing_Ever,HIV_Testing_Ever_Rank,HIV 95%CI LL,HIV 95%CI UL
0,NYC,78,n/a,77.7,79.2,16,n/a,14.8,16.2,27,n/a,26.3,28.0,88,n/a,87.0,88.2,77,n/a,76.4,77.9,24,n/a,22.9,24.4,10,n/a,9.7,10.8,20,n/a,19.1,20.7,11,n/a,10.4,11.6,39,n/a,38.5,40.3,62,n/a,61.5,63.3
1,Bronx,74,n/a,72.0,75.8,16,n/a,14.6,17.8,36,n/a,33.6,38.0,81,n/a,79.5,83.2,74,n/a,72.3,76.2,31,n/a,28.7,32.8,13,n/a,11.7,14.5,23,n/a,21.0,25.1,13,n/a,11.2,14.2,45,n/a,42.8,47.2,76,n/a,73.7,77.5
2,Brooklyn,76,n/a,74.4,77.3,16,n/a,14.5,17.1,27,n/a,25.7,28.9,86,n/a,85.2,87.7,75,n/a,73.8,76.8,27,n/a,25.1,28.2,11,n/a,10.1,12.2,21,n/a,19.2,22.2,12,n/a,10.5,12.8,35,n/a,33.6,36.9,61,n/a,59.5,62.9
3,Manhattan,84,n/a,82.0,84.9,15,n/a,13.1,16.2,20,n/a,18.1,21.7,91,n/a,89.8,92.2,84,n/a,82.4,85.4,15,n/a,14.1,16.9,7,n/a,5.8,7.3,15,n/a,13.7,17.1,10,n/a,9.0,11.6,43,n/a,40.6,44.7,67,n/a,64.9,68.8
4,Queens,79,n/a,77.8,80.6,15,n/a,13.3,16.0,27,n/a,25.8,29.2,90,n/a,88.4,90.7,76,n/a,74.1,77.2,21,n/a,19.9,22.8,10,n/a,9.5,11.4,22,n/a,20.9,24.1,11,n/a,9.6,11.8,38,n/a,36.7,40.2,56,n/a,54.0,57.6
5,Staten Island,83,n/a,80.6,85.1,20,n/a,17.5,23.0,28,n/a,24.9,31.0,89,n/a,86.5,90.7,78,n/a,75.1,80.4,30,n/a,27.0,32.9,10,n/a,8.7,12.4,11,n/a,9.1,13.9,8,n/a,6.4,10.0,39,n/a,36.5,42.5,47,n/a,43.6,50.1
101,Financial District,90,3,84.8,93.3,15,31,10.9,21.6,13,55,9.2,19.2,95,1,91.5,97.6,88,5,82.8,91.0,9,57,5.9,12.5,3,58,1.8,5.0,10,54,6.4,16.6,9,46,5.8,14.5,43,13,36.6,50.5,66,26,59.4,72.3
102,Greenwich Village and Soho,90,3,84.8,93.3,15,31,10.9,21.6,13,55,9.2,19.2,95,1,91.5,97.6,88,5,82.8,91.0,9,57,5.9,12.5,3,58,1.8,5.0,10,54,6.4,16.6,9,46,5.8,14.5,43,13,36.6,50.5,66,26,59.4,72.3
103,Lower East Side and Chinatown,72,46,65.2,78.1,17,21,11.6,23.9,22,41,16.2,29.3,93,7,89.1,95.6,80,12,74.7,85.0,12,53,8.6,15.9,11,31,8.3,14.4,17,37,12.2,23.6,12,25,7.7,17.0,43,16,36.1,50.3,62,35,54.5,69.4
104,Clinton and Chelsea,84,9,78.0,89.2,13,44,9.2,19.3,19,49,14.0,26.4,93,8,88.0,95.7,90,1,86.3,93.2,10,55,7.0,15.1,3,56,2.0,4.7,13,48,8.8,19.6,7,53,4.7,11.1,41,25,34.6,48.0,70,18,63.8,76.3
105,Midtown,84,9,78.0,89.2,13,44,9.2,19.3,19,49,14.0,26.4,93,8,88.0,95.7,90,1,86.3,93.2,10,55,7.0,15.1,3,56,2.0,4.7,13,48,8.8,19.6,7,53,4.7,11.1,41,25,34.6,48.0,70,18,63.8,76.3
106,Stuyvesant Town and Turtle Bay,91,2,86.1,93.6,13,48,7.9,21.4,12,58,7.4,19.4,94,4,87.0,96.9,86,8,79.3,90.4,8,59,5.6,12.4,3,55,2.0,5.3,10,57,5.9,15.8,8,52,5.0,13.9,41,24,34.2,48.6,60,39,51.9,68.1
107,Upper West Side,90,5,85.2,92.8,11,57,7.9,16.1,12,59,8.4,17.0,92,13,87.3,95.5,88,4,83.3,91.7,12,52,9.1,16.5,5,53,2.8,8.2,11,52,6.9,16.6,9,45,5.6,15.1,49,4,43.3,55.4,65,28,59.0,69.7
108,Upper East Side,92,1,87.6,95.2,14,36,10.2,19.7,13,57,9.2,18.9,93,5,89.0,96.1,87,7,82.6,90.7,11,54,7.5,15.4,4,54,2.1,7.6,11,50,7.5,17.1,5,59,3.3,7.9,47,6,40.6,52.5,59,42,52.5,64.4
109,Morningside Heights and Hamilton Heights,80,28,72.0,86.1,18,15,11.2,27.2,22,43,15.0,30.9,82,45,74.3,88.3,78,26,70.0,83.6,25,31,19.4,32.7,8,45,5.1,12.1,23,20,16.7,31.8,18,1,11.7,25.7,39,34,30.0,48.3,72,16,63.0,79.0
110,Central Harlem,83,17,77.1,87.0,18,14,12.7,25.0,31,25,24.8,38.6,88,32,81.9,91.9,79,17,72.3,84.2,28,25,22.1,35.7,12,20,8.8,16.7,20,32,12.9,28.5,11,31,7.2,16.5,41,27,33.6,48.8,79,8,72.6,85.0
111,East Harlem,70,52,63.3,76.5,19,9,13.8,26.0,34,18,26.6,42.4,83,44,75.3,88.1,77,31,69.2,82.6,33,6,26.3,40.1,12,21,8.7,16.8,25,10,18.7,33.0,11,26,7.3,17.4,41,22,33.8,49.1,77,12,69.5,83.0
112,Washington Heights and Inwood,74,44,68.3,78.5,12,55,8.2,16.9,32,24,25.6,38.4,89,25,84.3,92.2,78,20,72.9,83.0,22,39,17.3,27.1,9,39,7.1,11.6,22,24,16.6,28.3,16,4,11.7,21.6,36,46,30.1,41.7,71,17,64.3,76.3
201,Mott Haven and Melrose,71,48,64.8,77.0,16,25,12.3,21.3,40,5,32.8,46.9,77,58,70.6,82.4,71,53,65.3,76.8,32,12,25.8,38.2,13,15,9.8,17.2,24,11,18.1,31.7,17,2,12.3,23.9,49,2,42.1,56.6,80,5,72.6,85.6
202,Hunts Point and Longwood,71,48,64.8,77.0,16,25,12.3,21.3,40,5,32.8,46.9,77,58,70.6,82.4,71,53,65.3,76.8,32,12,25.8,38.2,13,15,9.8,17.2,24,11,18.1,31.7,17,2,12.3,23.9,49,2,42.1,56.6,80,5,72.6,85.6
203,Morrisania and Crotona,69,55,61.2,76.7,20,6,14.1,26.4,42,3,33.0,51.6,79,55,71.0,85.3,73,49,66.2,78.3,35,3,28.5,42.0,14,8,10.0,18.5,24,14,17.5,31.7,12,22,7.8,17.9,46,7,39.0,53.5,83,3,75.9,87.7
204,Highbridge and Concourse,71,50,62.7,77.3,18,13,13.0,24.4,38,9,29.8,46.0,80,53,72.8,85.0,73,46,65.9,79.0,29,24,23.0,35.1,14,10,10.0,18.3,28,6,20.4,36.3,12,18,8.1,18.0,48,5,40.9,55.1,83,2,77.3,87.9
205,Fordham and University Heights,72,47,63.3,79.0,19,10,13.3,25.6,46,1,36.8,54.6,80,52,72.4,85.7,74,41,67.3,79.3,30,17,22.9,38.3,12,22,7.9,18.0,27,7,19.0,37.5,14,9,9.7,20.7,45,9,36.8,54.0,87,1,78.3,92.2
206,Belmont and East Tremont,69,55,61.2,76.7,20,6,14.1,26.4,42,3,33.0,51.6,79,55,71.0,85.3,73,49,66.2,78.3,35,3,28.5,42.0,14,8,10.0,18.5,24,14,17.5,31.7,12,22,7.8,17.9,46,7,39.0,53.5,83,3,75.9,87.7
207,Kingsbridge Heights and Bedford,74,42,64.8,81.5,13,49,8.0,20.8,39,7,30.2,47.7,81,50,71.7,87.7,76,36,66.6,82.8,27,30,18.9,36.4,14,11,7.2,23.9,30,4,20.2,41.9,11,27,7.1,18.0,45,10,35.6,54.8,72,15,62.2,80.0
208,Riverdale and Fieldston,81,23,75.0,86.5,12,53,8.0,17.4,21,46,15.4,28.9,87,34,80.1,92.0,77,29,69.2,83.7,20,41,14.9,25.9,7,48,4.0,11.4,19,33,12.8,28.5,11,35,7.2,15.2,51,1,43.3,57.7,64,30,56.0,71.2
209,Parkchester and Soundview,72,45,64.8,78.4,16,29,11.1,21.7,37,11,29.8,44.3,78,57,70.1,84.4,75,38,67.5,80.6,29,20,22.8,36.2,13,17,9.1,18.1,25,9,19.3,32.8,14,12,9.1,20.2,42,19,35.2,49.5,79,9,72.8,84.7
210,Throgs Neck and Co-op City,77,36,69.8,83.2,18,17,11.7,25.5,26,32,18.8,35.0,89,27,82.3,92.8,73,48,64.7,79.7,36,1,28.4,44.2,19,1,13.3,25.1,10,58,5.4,16.5,10,38,6.1,16.1,43,15,35.6,51.4,57,46,48.4,64.5
211,Morris Park and Bronxdale,76,38,64.4,85.0,17,22,10.6,25.3,29,29,19.2,40.2,82,48,71.8,88.4,73,44,63.6,81.3,32,10,23.2,42.1,15,6,8.7,23.4,16,39,9.6,26.4,12,24,6.1,21.9,43,17,31.0,55.4,69,21,59.2,77.2
212,Williamsbridge and Baychester,78,34,71.3,83.1,14,43,9.6,19.3,37,12,28.3,45.6,85,41,78.5,89.7,78,19,71.7,83.9,35,2,28.5,42.9,11,30,7.0,16.8,22,23,16.1,30.2,12,21,7.7,18.4,40,29,32.7,47.8,77,11,70.4,82.5
301,Greenpoint and Williamsburg,80,30,74.1,84.2,20,5,14.3,26.4,21,47,16.0,27.5,88,31,81.6,92.1,76,32,70.4,81.5,23,37,17.2,29.4,8,44,5.6,11.4,20,31,13.8,28.4,13,16,8.5,18.2,28,59,22.4,33.5,63,31,56.0,70.3
302,Fort Greene and Brooklyn Heights,87,6,81.0,91.2,19,8,12.5,29.0,18,53,11.7,26.5,91,16,84.5,95.3,81,9,73.3,87.0,19,44,13.1,26.4,7,51,4.0,10.7,11,51,6.1,20.3,13,13,7.9,21.4,35,51,26.7,43.4,68,24,58.2,77.2
303,Bedford Stuyvesant,78,33,70.8,84.2,21,3,14.3,28.8,35,13,26.5,45.5,82,47,73.6,87.8,76,33,68.2,82.9,32,8,24.7,40.6,13,14,8.1,20.4,20,30,13.8,28.4,12,19,7.2,19.5,34,54,26.3,43.2,76,14,65.2,83.7
304,Bushwick,70,51,62.0,77.5,16,28,10.2,23.5,38,8,28.7,48.4,86,37,79.2,91.0,74,40,65.0,81.7,29,22,21.0,38.4,10,34,6.6,15.8,31,3,22.8,39.9,15,6,8.8,23.4,32,57,24.6,41.3,69,23,59.2,76.5
305,East New York and Starrett City,75,40,70.4,79.7,17,19,13.2,21.8,34,15,29.3,39.8,81,49,76.3,85.0,74,42,68.7,78.0,31,14,26.5,36.6,16,3,12.8,20.6,27,8,22.1,32.7,15,5,11.4,20.1,37,38,32.1,42.6,69,22,62.8,74.2
306,Park Slope and Carroll Gardens,85,7,77.1,91.1,10,58,5.4,18.1,15,54,9.3,23.7,93,6,86.8,96.5,89,3,81.8,94.1,13,51,8.3,18.8,7,47,4.2,12.8,15,44,8.7,25.6,11,36,6.0,17.8,41,23,32.3,50.8,62,34,50.6,72.6
307,Sunset Park,70,53,59.7,78.1,16,30,9.9,23.7,29,27,21.9,37.9,87,35,79.1,92.1,68,59,59.0,75.4,18,46,11.8,25.5,8,46,4.7,12.4,30,5,22.9,37.7,10,42,5.7,16.4,36,43,27.8,45.7,57,44,47.3,66.0
308,Crown Heights and Prospect Heights,80,26,70.0,87.3,17,20,10.5,26.1,37,10,26.8,48.3,82,46,71.1,89.7,80,13,68.0,88.3,32,11,22.2,43.1,15,5,8.2,25.8,20,28,12.5,31.6,14,8,6.6,28.3,36,42,23.8,51.3,76,13,66.3,83.9
309,South Crown Heights and Lefferts Gardens,85,8,75.6,91.1,14,42,7.1,25.1,30,26,20.6,41.2,79,54,68.5,87.2,81,10,71.3,87.8,29,18,21.1,39.2,11,33,5.7,18.7,22,26,13.1,33.5,14,11,7.3,24.6,38,35,26.9,49.6,70,20,59.6,78.9
310,Bay Ridge and Dyker Heights,79,32,70.7,85.5,14,40,8.7,21.8,20,48,12.4,30.8,89,22,82.0,94.0,76,34,67.0,82.9,19,43,13.1,27.6,7,50,3.5,13.0,14,47,8.6,23.2,6,57,2.3,13.0,37,37,29.9,45.7,46,51,37.6,55.6
311,Bensonhurst,69,57,62.1,75.9,17,18,12.1,24.2,21,45,15.6,28.8,93,11,87.9,95.6,69,57,61.5,74.9,23,35,17.4,30.0,9,38,5.8,14.2,18,35,12.7,25.2,10,41,6.4,14.9,35,50,28.1,41.9,43,56,35.1,50.9
312,Borough Park,75,39,66.8,82.5,14,35,9.4,21.4,22,44,15.9,29.5,88,29,82.3,92.7,72,51,63.4,79.5,23,36,16.9,30.5,8,42,4.1,15.6,21,27,14.9,29.8,10,39,5.8,16.6,31,58,23.9,39.8,43,55,34.0,52.5
313,Coney Island,61,58,48.2,71.8,18,16,11.1,26.8,25,36,17.4,34.3,92,15,85.2,95.4,68,58,59.2,76.4,34,5,25.2,43.1,13,13,8.3,20.5,22,22,13.8,34.4,10,37,5.7,17.4,34,53,24.7,45.5,46,52,35.9,56.2
314,Flatbush and Midwood,77,37,69.1,83.4,14,38,9.2,21.0,29,28,21.8,37.1,84,42,76.0,90.2,80,14,73.2,84.8,29,23,21.5,37.3,11,28,6.8,17.5,24,16,17.4,31.7,15,7,9.2,22.2,35,48,27.2,44.1,62,32,50.8,72.8
315,Sheepshead Bay,60,59,52.4,66.9,18,11,13.3,24.9,23,39,17.6,30.5,89,23,83.1,93.0,72,52,64.9,77.7,31,15,24.3,38.3,13,12,9.6,18.2,17,38,11.3,24.3,9,51,5.4,13.8,39,33,32.1,47.1,49,50,42.2,56.2
316,Brownsville,84,13,73.2,90.9,13,51,7.9,19.9,44,2,31.4,57.3,84,43,75.8,89.5,79,15,70.4,86.4,29,21,19.5,40.8,12,23,6.1,22.4,20,29,12.6,30.9,12,17,6.5,22.1,36,45,26.0,47.3,80,7,69.2,87.4
317,East Flatbush,80,29,71.4,86.4,10,59,6.0,15.7,32,21,25.1,40.6,80,51,69.4,87.6,78,24,69.2,84.2,30,16,22.9,38.8,12,19,7.9,18.6,24,17,17.0,32.0,14,10,8.7,21.2,37,41,28.9,44.8,78,10,69.4,85.0
318,Flatlands and Canarsie,80,27,73.6,85.2,13,46,9.3,19.0,26,31,20.7,32.6,86,40,79.2,90.6,74,43,66.5,79.5,32,9,25.8,39.2,16,2,11.8,22.6,16,41,11.7,22.3,9,49,5.9,13.0,35,49,28.5,41.4,62,33,55.3,68.8
401,Long Island City and Astoria,82,21,76.6,86.4,21,2,15.9,27.8,23,40,18.0,29.6,91,17,85.5,94.5,77,28,70.8,82.8,22,40,15.9,28.5,9,36,6.2,13.9,22,25,15.9,29.2,11,29,7.8,16.0,35,47,28.8,42.3,61,37,54.3,67.9
402,Woodside and Sunnyside,80,31,70.9,86.2,14,37,8.9,22.3,25,38,17.7,33.5,87,33,78.0,93.2,78,22,69.6,84.7,18,45,11.9,27.1,8,43,3.8,16.3,24,18,15.9,33.7,9,50,5.0,14.9,33,55,25.1,42.0,59,41,49.6,68.3
403,Jackson Heights,80,25,73.9,85.2,14,39,9.3,20.6,32,23,24.7,39.7,91,18,84.3,94.6,76,35,68.6,81.6,20,42,14.6,26.3,9,41,5.6,13.5,39,2,31.4,47.1,13,15,8.9,18.6,36,44,28.2,44.9,62,36,53.2,70.2
404,Elmhurst and Corona,74,43,66.7,79.7,12,52,7.4,19.1,34,17,26.6,42.4,89,24,82.4,93.2,74,39,66.7,80.5,23,34,17.3,30.4,11,27,7.4,17.3,40,1,32.5,48.4,11,34,6.7,16.8,40,30,31.5,48.5,55,48,46.6,63.5
405,Ridgewood and Maspeth,83,16,77.0,87.3,17,23,12.2,22.0,26,30,20.9,32.6,88,30,82.7,91.7,77,30,70.8,82.6,22,38,16.9,28.6,7,49,4.4,10.3,16,40,11.7,22.2,11,30,7.5,16.0,33,56,27.0,39.4,56,47,48.9,62.4
406,Rego Park and Forest Hills,84,14,77.7,88.4,13,47,8.7,20.2,22,42,15.7,29.8,90,20,83.7,93.7,70,56,61.6,76.7,14,50,9.1,20.2,11,29,7.3,16.4,15,46,9.6,21.8,10,40,5.8,16.6,45,11,37.4,52.7,40,59,32.2,47.6
407,Flushing and Whitestone,69,54,64.4,74.2,15,33,11.0,19.3,18,52,13.9,22.9,90,19,85.4,92.9,71,55,66.1,75.7,17,47,13.1,20.9,9,40,6.5,12.0,23,21,18.8,28.6,10,43,7.1,13.4,45,12,39.5,49.9,43,54,37.9,48.8
408,Hillcrest and Fresh Meadows,83,15,77.7,87.1,15,34,10.1,20.6,25,37,17.9,33.2,93,10,88.0,95.6,73,47,66.5,78.5,17,48,12.2,22.2,10,35,6.8,14.0,17,36,12.0,24.7,11,32,6.9,16.7,41,21,34.1,49.3,49,49,41.1,57.5
409,Kew Gardens and Woodhaven,82,20,75.5,87.2,16,27,10.8,23.3,33,19,26.0,41.3,93,12,87.7,95.5,78,27,70.2,83.5,23,33,17.6,30.3,12,25,7.8,17.4,23,19,16.6,31.9,12,20,7.8,18.3,35,52,27.5,42.3,60,40,51.8,67.7
410,South Ozone Park and Howard Beach,75,41,67.0,81.7,12,56,6.8,19.1,26,34,18.6,34.5,86,38,79.0,91.0,73,45,64.6,80.2,27,27,20.3,35.8,16,4,11.0,23.0,18,34,12.3,26.4,9,48,5.0,15.8,39,32,31.4,48.1,57,45,48.0,64.9
411,Bayside and Little Neck,84,12,77.3,88.9,14,41,8.3,22.7,19,51,13.2,26.4,95,3,87.4,97.9,78,25,70.6,83.2,14,49,10.2,18.9,6,52,3.5,8.9,11,53,7.1,16.3,5,58,2.4,11.1,43,18,35.1,50.5,44,53,36.0,51.5
412,Jamaica and Hollis,80,24,75.4,84.4,13,50,9.2,17.6,35,14,29.1,41.8,87,36,81.8,90.3,79,18,73.7,83.1,27,28,22.4,32.5,13,18,9.7,16.0,24,13,18.7,30.2,13,14,9.2,18.4,37,39,31.0,43.0,67,25,60.5,72.7
413,Queens Village,81,22,75.8,86.0,12,54,8.5,16.5,33,20,27.6,39.0,89,28,83.3,92.3,78,23,72.3,82.3,25,32,20.3,31.2,14,7,10.5,18.6,16,42,11.9,21.2,11,28,7.6,16.5,38,36,32.1,43.4,61,38,54.7,66.1
414,Rockaway and Broad Channel,77,35,70.9,82.6,17,24,11.9,22.5,34,16,27.2,41.7,90,21,84.2,93.3,79,16,73.0,84.7,28,26,22.1,34.7,12,24,8.0,17.1,15,45,10.4,22.0,9,44,6.0,14.4,39,31,32.7,46.5,64,29,56.7,70.8
501,St. George and Stapleton,82,18,78.1,86.1,22,1,17.1,27.0,32,22,26.7,37.9,86,39,81.4,89.7,78,21,73.3,82.3,33,7,27.8,38.2,9,37,7.1,12.0,16,43,11.5,21.4,11,33,8.0,14.6,37,40,31.9,41.9,57,43,51.6,62.4
502,South Beach and Willowbrook,82,19,77.6,86.0,20,4,14.8,27.0,26,33,20.1,32.6,89,26,83.6,92.5,80,11,74.6,85.2,27,29,21.3,33.4,12,26,8.0,16.6,10,56,6.2,16.2,6,56,3.7,9.0,42,20,36.0,47.9,41,57,34.9,47.7
503,Tottenville and Great Kills,84,11,79.7,87.7,18,12,14.1,23.7,25,35,19.5,31.1,92,14,87.6,94.5,76,37,70.3,80.2,29,19,24.2,34.8,11,32,7.6,14.5,7,59,4.4,11.7,7,55,4.2,10.8,40,28,35.0,46.1,40,58,34.7,46.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: *Estimate should be interpreted with caution. Estimate's Relative Standard Error (a measure of estimate precision) is greater than 30%, or the 95% Confidence Interval half-width is greater than 10 or the sample size is too small, making the estimate potentially unreliable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Confidence intervals (CIs) are a measure of estimate precision: the wider the CI, the more imprecise the estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,